date,team1,team2,venue,city,toss_winner,toss_decision,winner
2011-04-24,Deccan Chargers,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,field,Mumbai Indians
2011-04-25,Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Chennai,Pune Warriors,field,Chennai Super Kings
2011-04-26,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2011-04-27,Chennai Super Kings,Pune Warriors,Dr DY Patil Sports Academy,Mumbai,Pune Warriors,bat,Chennai Super Kings
2011-04-27,Deccan Chargers,Kochi Tuskers Kerala,Nehru Stadium,Kochi,Kochi Tuskers Kerala,field,Deccan Chargers
2011-04-28,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,Delhi Daredevils,field,Kolkata Knight Riders
2011-04-29,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,Rajasthan Royals
2011-04-29,Pune Warriors,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Pune Warriors,field,Royal Challengers Bangalore
2011-04-30,Delhi Daredevils,Kochi Tuskers Kerala,Nehru Stadium,Kochi,Delhi Daredevils,bat,Delhi Daredevils
2011-04-30,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,Kolkata,Kolkata Knight Riders,field,Kolkata Knight Riders
2011-05-01,Pune Warriors,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,Rajasthan Royals
2011-05-01,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Chennai Super Kings
2011-05-02,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,Mumbai,Kings XI Punjab,field,Mumbai Indians
2011-05-02,Delhi Daredevils,Kochi Tuskers Kerala,Feroz Shah Kotla,Delhi,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala
2011-05-03,Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,field,Kolkata Knight Riders
2011-05-04,Mumbai Indians,Pune Warriors,Dr DY Patil Sports Academy,Mumbai,Pune Warriors,field,Mumbai Indians
2011-05-04,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai,Rajasthan Royals,bat,Chennai Super Kings
2011-05-05,Kochi Tuskers Kerala,Kolkata Knight Riders,Nehru Stadium,Kochi,Kolkata Knight Riders,field,Kochi Tuskers Kerala
2011-05-05,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Delhi Daredevils,field,Delhi Daredevils
2011-05-06,Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Kings XI Punjab,field,Royal Challengers Bangalore
2011-05-07,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Kolkata,Chennai Super Kings,bat,Kolkata Knight Riders
2011-05-07,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,Mumbai,Delhi Daredevils,field,Mumbai Indians
2011-05-08,Kochi Tuskers Kerala,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore
2011-05-08,Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kings XI Punjab,bat,Pune Warriors
2011-05-09,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,Chennai Super Kings
2011-05-10,Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,bat,Pune Warriors
2011-05-10,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Mumbai Indians,field,Kings XI Punjab
2011-05-11,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Jaipur,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2011-05-12,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Chennai Super Kings
2011-05-13,Kings XI Punjab,Kochi Tuskers Kerala,Holkar Cricket Stadium,Indore,Kings XI Punjab,field,Kings XI Punjab
2011-05-14,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2011-05-14,Deccan Chargers,Mumbai Indians,Wankhede Stadium,Mumbai,Deccan Chargers,bat,Deccan Chargers
2011-05-15,Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Dharamsala,Delhi Daredevils,field,Kings XI Punjab
2011-05-15,Kochi Tuskers Kerala,Rajasthan Royals,Holkar Cricket Stadium,Indore,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala
2011-05-16,Deccan Chargers,Pune Warriors,Dr DY Patil Sports Academy,Mumbai,Deccan Chargers,field,Deccan Chargers
2011-05-17,Kings XI Punjab,Royal Challengers Bangalore,Himachal Pradesh Cricket Association Stadium,Dharamsala,Kings XI Punjab,bat,Kings XI Punjab
2011-05-18,Chennai Super Kings,Kochi Tuskers Kerala,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Chennai Super Kings
2011-05-19,Kolkata Knight Riders,Pune Warriors,Dr DY Patil Sports Academy,Mumbai,Kolkata Knight Riders,field,Kolkata Knight Riders
2011-05-20,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Mumbai,Mumbai Indians,bat,Rajasthan Royals
2011-05-21,Deccan Chargers,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Dharamsala,Kings XI Punjab,field,Deccan Chargers
2011-05-22,Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2011-05-22,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata,Mumbai Indians,field,Mumbai Indians
2011-05-24,Chennai Super Kings,Royal Challengers Bangalore,Wankhede Stadium,Mumbai,Chennai Super Kings,field,Chennai Super Kings
2011-05-25,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians
2011-05-27,Mumbai Indians,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai,Mumbai Indians,field,Royal Challengers Bangalore
2011-05-28,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Chennai Super Kings
2012-04-04,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai,Mumbai Indians,field,Mumbai Indians
2012-04-05,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,Kolkata,Delhi Daredevils,field,Delhi Daredevils
2012-04-06,Mumbai Indians,Pune Warriors,Wankhede Stadium,Mumbai,Mumbai Indians,field,Pune Warriors
2012-04-06,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Kings XI Punjab,field,Rajasthan Royals
2012-04-07,Chennai Super Kings,Deccan Chargers,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Deccan Chargers,field,Chennai Super Kings
2012-04-07,Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Delhi Daredevils,field,Royal Challengers Bangalore
2012-04-08,Kings XI Punjab,Pune Warriors,Subrata Roy Sahara Stadium,Pune,Pune Warriors,bat,Pune Warriors
2012-04-08,Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Kolkata Knight Riders,field,Rajasthan Royals
2012-04-09,Deccan Chargers,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Deccan Chargers,bat,Mumbai Indians
2012-04-10,Chennai Super Kings,Delhi Daredevils,Feroz Shah Kotla,Delhi,Delhi Daredevils,field,Delhi Daredevils
2012-04-10,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders
2012-04-11,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Mumbai,Rajasthan Royals,field,Mumbai Indians
2012-04-12,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai,Royal Challengers Bangalore,bat,Chennai Super Kings
2012-04-12,Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kings XI Punjab,field,Kings XI Punjab
2012-04-13,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Kolkata,Rajasthan Royals,bat,Kolkata Knight Riders
2012-04-14,Chennai Super Kings,Pune Warriors,Subrata Roy Sahara Stadium,Pune,Chennai Super Kings,bat,Pune Warriors
2012-04-15,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,Kolkata,Kolkata Knight Riders,field,Kings XI Punjab
2012-04-15,Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Rajasthan Royals,bat,Rajasthan Royals
2012-04-16,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,Mumbai,Delhi Daredevils,field,Delhi Daredevils
2012-04-17,Deccan Chargers,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Deccan Chargers,bat,Rajasthan Royals
2012-04-17,Pune Warriors,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Pune Warriors,bat,Royal Challengers Bangalore
2012-04-18,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kings XI Punjab,bat,Kolkata Knight Riders
2012-04-19,Deccan Chargers,Delhi Daredevils,Feroz Shah Kotla,Delhi,Deccan Chargers,bat,Delhi Daredevils
2012-04-19,Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Chennai,Pune Warriors,field,Chennai Super Kings
2012-04-20,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2012-04-21,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai,Rajasthan Royals,bat,Chennai Super Kings
2012-04-21,Delhi Daredevils,Pune Warriors,Feroz Shah Kotla,Delhi,Delhi Daredevils,field,Pune Warriors
2012-04-22,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,Mumbai,Mumbai Indians,bat,Kings XI Punjab
2012-04-22,Deccan Chargers,Kolkata Knight Riders,Barabati Stadium,Cuttack,Kolkata Knight Riders,field,Kolkata Knight Riders
2012-04-23,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,Royal Challengers Bangalore
2012-04-24,Delhi Daredevils,Pune Warriors,Subrata Roy Sahara Stadium,Pune,Pune Warriors,bat,Delhi Daredevils
2012-04-25,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kings XI Punjab,bat,Mumbai Indians
2012-04-26,Deccan Chargers,Pune Warriors,Subrata Roy Sahara Stadium,Pune,Deccan Chargers,bat,Deccan Chargers
2012-04-27,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Delhi,Mumbai Indians,field,Delhi Daredevils
2012-04-28,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Chennai,Kings XI Punjab,bat,Kings XI Punjab
2012-04-28,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Kolkata Knight Riders
2012-04-29,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Delhi,Delhi Daredevils,bat,Delhi Daredevils
2012-04-29,Deccan Chargers,Mumbai Indians,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians
2012-04-30,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Kolkata Knight Riders
2012-05-01,Deccan Chargers,Pune Warriors,Barabati Stadium,Cuttack,Deccan Chargers,bat,Deccan Chargers
2012-05-01,Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,bat,Delhi Daredevils
2012-05-02,Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Kings XI Punjab,field,Kings XI Punjab
2012-05-03,Mumbai Indians,Pune Warriors,Subrata Roy Sahara Stadium,Pune,Mumbai Indians,bat,Mumbai Indians
2012-05-04,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Chennai Super Kings
2012-05-05,Kolkata Knight Riders,Pune Warriors,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Kolkata Knight Riders
2012-05-05,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Rajasthan Royals,bat,Rajasthan Royals
2012-05-06,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians
2012-05-06,Deccan Chargers,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2012-05-07,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,Delhi Daredevils,bat,Kolkata Knight Riders
2012-05-08,Pune Warriors,Rajasthan Royals,Subrata Roy Sahara Stadium,Pune,Pune Warriors,bat,Rajasthan Royals
2012-05-08,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,field,Kings XI Punjab
2012-05-09,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2012-05-10,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Chennai Super Kings,field,Chennai Super Kings
2012-05-10,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,bat,Delhi Daredevils
2012-05-11,Pune Warriors,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,Pune,Pune Warriors,field,Royal Challengers Bangalore
2012-05-12,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata,Mumbai Indians,bat,Mumbai Indians
2012-05-12,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,field,Chennai Super Kings
2012-05-13,Pune Warriors,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,bat,Rajasthan Royals
2012-05-13,Deccan Chargers,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Deccan Chargers,bat,Kings XI Punjab
2012-05-14,Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Mumbai Indians,field,Mumbai Indians
2012-05-14,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Kolkata,Chennai Super Kings,field,Chennai Super Kings
2012-05-15,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi,Kings XI Punjab,bat,Delhi Daredevils
2012-05-16,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Mumbai,Mumbai Indians,field,Kolkata Knight Riders
2012-05-17,Chennai Super Kings,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Dharamsala,Kings XI Punjab,field,Kings XI Punjab
2012-05-17,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,Delhi Daredevils,field,Royal Challengers Bangalore
2012-05-18,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Rajasthan Royals,bat,Deccan Chargers
2012-05-19,Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Dharamsala,Delhi Daredevils,field,Delhi Daredevils
2012-05-19,Kolkata Knight Riders,Pune Warriors,Subrata Roy Sahara Stadium,Pune,Kolkata Knight Riders,bat,Kolkata Knight Riders
2012-05-20,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Royal Challengers Bangalore,field,Deccan Chargers
2012-05-20,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,bat,Mumbai Indians
2012-05-22,Delhi Daredevils,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Pune,Kolkata Knight Riders,bat,Kolkata Knight Riders
2012-05-23,Chennai Super Kings,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,Mumbai Indians,field,Chennai Super Kings
2012-05-25,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai,Delhi Daredevils,field,Chennai Super Kings
2012-05-27,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Kolkata Knight Riders
2013-04-03,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,Kolkata,Kolkata Knight Riders,field,Kolkata Knight Riders
2013-04-04,Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Mumbai Indians,field,Royal Challengers Bangalore
2013-04-05,Pune Warriors,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Pune Warriors,field,Sunrisers Hyderabad
2013-04-06,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Delhi,Rajasthan Royals,bat,Rajasthan Royals
2013-04-06,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai,Mumbai Indians,bat,Mumbai Indians
2013-04-07,Kings XI Punjab,Pune Warriors,Subrata Roy Sahara Stadium,Pune,Pune Warriors,bat,Kings XI Punjab
2013-04-08,Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Kolkata Knight Riders,field,Rajasthan Royals
2013-04-09,Royal Challengers Bangalore,Sunrisers Hyderabad,M Chinnaswamy Stadium,Bangalore,Sunrisers Hyderabad,bat,Royal Challengers Bangalore
2013-04-09,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,Mumbai,Mumbai Indians,bat,Mumbai Indians
2013-04-10,Chennai Super Kings,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Chennai Super Kings,field,Chennai Super Kings
2013-04-11,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2013-04-11,Pune Warriors,Rajasthan Royals,Subrata Roy Sahara Stadium,Pune,Rajasthan Royals,bat,Pune Warriors
2013-04-12,Delhi Daredevils,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi,Delhi Daredevils,bat,Sunrisers Hyderabad
2013-04-13,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,field,Chennai Super Kings
2013-04-13,Mumbai Indians,Pune Warriors,Wankhede Stadium,Mumbai,Mumbai Indians,bat,Mumbai Indians
2013-04-14,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Kolkata Knight Riders
2013-04-14,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,Rajasthan Royals
2013-04-15,Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Chennai,Pune Warriors,bat,Pune Warriors
2013-04-16,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kolkata Knight Riders,field,Kings XI Punjab
2013-04-17,Pune Warriors,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,Pune,Pune Warriors,field,Sunrisers Hyderabad
2013-04-17,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,bat,Rajasthan Royals
2013-04-18,Chennai Super Kings,Delhi Daredevils,Feroz Shah Kotla,Delhi,Chennai Super Kings,bat,Chennai Super Kings
2013-04-19,Kings XI Punjab,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Kings XI Punjab,bat,Sunrisers Hyderabad
2013-04-20,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Chennai Super Kings
2013-04-20,Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2013-04-21,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Delhi,Mumbai Indians,bat,Delhi Daredevils
2013-04-21,Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kings XI Punjab,field,Kings XI Punjab
2013-04-22,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai,Rajasthan Royals,bat,Chennai Super Kings
2013-04-23,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi,Kings XI Punjab,field,Kings XI Punjab
2013-04-23,Pune Warriors,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Pune Warriors,field,Royal Challengers Bangalore
2013-04-24,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Mumbai Indians
2013-04-25,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",Chennai,Sunrisers Hyderabad,bat,Chennai Super Kings
2013-04-26,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,Kolkata,Kings XI Punjab,bat,Kolkata Knight Riders
2013-04-27,Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,Jaipur,Sunrisers Hyderabad,bat,Rajasthan Royals
2013-04-27,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai,Mumbai Indians,bat,Mumbai Indians
2013-04-28,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai,Kolkata Knight Riders,field,Chennai Super Kings
2013-04-28,Delhi Daredevils,Pune Warriors,Shaheed Veer Narayan Singh International Stadium,Raipur,Pune Warriors,field,Delhi Daredevils
2013-04-29,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,Rajasthan Royals
2013-04-29,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,Mumbai,Mumbai Indians,bat,Mumbai Indians
2013-04-30,Chennai Super Kings,Pune Warriors,Subrata Roy Sahara Stadium,Pune,Chennai Super Kings,bat,Chennai Super Kings
2013-05-01,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Mumbai Indians,bat,Sunrisers Hyderabad
2013-05-01,Delhi Daredevils,Kolkata Knight Riders,Shaheed Veer Narayan Singh International Stadium,Raipur,Kolkata Knight Riders,bat,Delhi Daredevils
2013-05-02,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Chennai Super Kings
2013-05-02,Pune Warriors,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,Pune,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
2013-05-03,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Kolkata,Rajasthan Royals,bat,Kolkata Knight Riders
2013-05-04,Delhi Daredevils,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Delhi Daredevils,bat,Sunrisers Hyderabad
2013-05-05,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Mumbai,Mumbai Indians,bat,Mumbai Indians
2013-05-05,Pune Warriors,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Pune Warriors,bat,Rajasthan Royals
2013-05-06,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kings XI Punjab,field,Kings XI Punjab
2013-05-07,Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Delhi Daredevils,bat,Rajasthan Royals
2013-05-07,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Mumbai,Mumbai Indians,bat,Mumbai Indians
2013-05-08,Chennai Super Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings
2013-05-09,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Rajasthan Royals,field,Rajasthan Royals
2013-05-09,Kolkata Knight Riders,Pune Warriors,Subrata Roy Sahara Stadium,Pune,Kolkata Knight Riders,bat,Kolkata Knight Riders
2013-05-10,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,Delhi Daredevils,field,Royal Challengers Bangalore
2013-05-11,Mumbai Indians,Pune Warriors,Subrata Roy Sahara Stadium,Pune,Pune Warriors,bat,Mumbai Indians
2013-05-11,Kings XI Punjab,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kings XI Punjab,field,Sunrisers Hyderabad
2013-05-12,Kolkata Knight Riders,Royal Challengers Bangalore,JSCA International Stadium Complex,Ranchi,Kolkata Knight Riders,field,Kolkata Knight Riders
2013-05-12,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,Rajasthan Royals
2013-05-13,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,Mumbai,Sunrisers Hyderabad,bat,Mumbai Indians
2013-05-14,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Chennai Super Kings
2013-05-14,Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Kings XI Punjab,field,Kings XI Punjab
2013-05-15,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Mumbai,Rajasthan Royals,field,Mumbai Indians
2013-05-15,Kolkata Knight Riders,Pune Warriors,JSCA International Stadium Complex,Ranchi,Kolkata Knight Riders,field,Pune Warriors
2013-05-16,Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Dharamsala,Delhi Daredevils,field,Kings XI Punjab
2013-05-17,Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
2013-05-18,Kings XI Punjab,Mumbai Indians,Himachal Pradesh Cricket Association Stadium,Dharamsala,Mumbai Indians,field,Kings XI Punjab
2013-05-18,Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Chennai Super Kings,field,Royal Challengers Bangalore
2013-05-19,Delhi Daredevils,Pune Warriors,Subrata Roy Sahara Stadium,Pune,Pune Warriors,bat,Pune Warriors
2013-05-19,Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Kolkata Knight Riders,bat,Sunrisers Hyderabad
2013-05-21,Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,Delhi,Chennai Super Kings,bat,Chennai Super Kings
2013-05-22,Rajasthan Royals,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi,Sunrisers Hyderabad,bat,Rajasthan Royals
2013-05-24,Mumbai Indians,Rajasthan Royals,Eden Gardens,Kolkata,Rajasthan Royals,bat,Mumbai Indians
2013-05-26,Chennai Super Kings,Mumbai Indians,Eden Gardens,Kolkata,Mumbai Indians,bat,Mumbai Indians
